index,depth_file,rgb_file,depth_ts,rgb_ts,rgb_out,rgb_undist_out,depth_out,nonzero_depth_pixels
1,d-1316653648.611579-1109571627.pgm,r-1316653648.627037-1110120975.ppm,1316653648.611578941,1316653648.627037048,RGB\1.png,RGB_undistorted\1.png,Depth\1_depth.png,307200
2,d-1316653649.743914-1177644897.pgm,r-1316653649.758440-1178130750.ppm,1316653649.743913889,1316653649.758440018,RGB\2.png,RGB_undistorted\2.png,Depth\2_depth.png,307200
3,d-1316653650.758777-1237709547.pgm,r-1316653650.752362-1238139375.ppm,1316653650.758776903,1316653650.752362013,RGB\3.png,RGB_undistorted\3.png,Depth\3_depth.png,307200
4,d-1316653651.743866-1297774197.pgm,r-1316653651.758244-1298148000.ppm,1316653651.743865967,1316653651.758244038,RGB\4.png,RGB_undistorted\4.png,Depth\4_depth.png,307200
5,d-1316653652.755171-1357838847.pgm,r-1316653652.750235-1358156625.ppm,1316653652.755171061,1316653652.750235081,RGB\5.png,RGB_undistorted\5.png,Depth\5_depth.png,307200
6,d-1316653653.853244-1423909962.pgm,r-1316653653.847109-1424166113.ppm,1316653653.853244066,1316653653.847109079,RGB\6.png,RGB_undistorted\6.png,Depth\6_depth.png,307200
7,d-1316653654.857810-1483974612.pgm,r-1316653654.853002-1484174738.ppm,1316653654.857810020,1316653654.853002071,RGB\7.png,RGB_undistorted\7.png,Depth\7_depth.png,307200
8,d-1316653655.926840-1548043572.pgm,r-1316653655.913260-1548183938.ppm,1316653655.926840067,1316653655.913259983,RGB\8.png,RGB_undistorted\8.png,Depth\8_depth.png,307200
9,d-1316653657.560341-1646149167.pgm,r-1316653657.547429-1646198025.ppm,1316653657.560340881,1316653657.547429085,RGB\9.png,RGB_undistorted\9.png,Depth\9_depth.png,307200
10,d-1316653658.559885-1706213817.pgm,r-1316653658.554807-1706206650.ppm,1316653658.559885025,1316653658.554806948,RGB\10.png,RGB_undistorted\10.png,Depth\10_depth.png,307200
11,d-1316653659.560173-1766278467.pgm,r-1316653659.548292-1766215275.ppm,1316653659.560173035,1316653659.548291922,RGB\11.png,RGB_undistorted\11.png,Depth\11_depth.png,307200
12,d-1316653660.568156-1826343117.pgm,r-1316653660.556644-1826223900.ppm,1316653660.568156004,1316653660.556643963,RGB\12.png,RGB_undistorted\12.png,Depth\12_depth.png,307200
