index,depth_file,rgb_file,depth_ts,rgb_ts,rgb_out,rgb_undist_out,depth_out,nonzero_depth_pixels
1,d-1315326198.744734-666376886.pgm,r-1315326198.739649-666436845.ppm,1315326198.744734049,1315326198.739649057,images\1.png,RGB_undistorted\1.png,Depth\1_depth.png,307200
2,d-1315326200.110941-748465241.pgm,r-1315326200.105970-748448633.ppm,1315326200.110940933,1315326200.105969906,images\2.png,RGB_undistorted\2.png,Depth\2_depth.png,307200
3,d-1315326201.122036-808529891.pgm,r-1315326201.115918-808457258.ppm,1315326201.122035980,1315326201.115917921,images\3.png,RGB_undistorted\3.png,Depth\3_depth.png,307200
4,d-1315326202.181179-872598851.pgm,r-1315326202.175456-872466458.ppm,1315326202.181179047,1315326202.175456047,images\4.png,RGB_undistorted\4.png,Depth\4_depth.png,307200
5,d-1315326203.183223-932663501.pgm,r-1315326203.165917-932475083.ppm,1315326203.183223009,1315326203.165916920,images\5.png,RGB_undistorted\5.png,Depth\5_depth.png,307200
6,d-1315326204.181076-992728151.pgm,r-1315326204.175338-992483708.ppm,1315326204.181076050,1315326204.175338030,images\6.png,RGB_undistorted\6.png,Depth\6_depth.png,307200
7,d-1315326205.186448-1052792801.pgm,r-1315326205.181578-1052492333.ppm,1315326205.186448097,1315326205.181577921,images\7.png,RGB_undistorted\7.png,Depth\7_depth.png,307200
8,d-1315326206.191016-1112857451.pgm,r-1315326206.205593-1114501245.ppm,1315326206.191015959,1315326206.205593109,images\8.png,RGB_undistorted\8.png,Depth\8_depth.png,307200
9,d-1315326207.484008-1190941496.pgm,r-1315326207.470559-1190512170.ppm,1315326207.484008074,1315326207.470558882,images\9.png,RGB_undistorted\9.png,Depth\9_depth.png,307200
10,d-1315326208.491875-1251006146.pgm,r-1315326208.478461-1250520795.ppm,1315326208.491874933,1315326208.478461027,images\10.png,RGB_undistorted\10.png,Depth\10_depth.png,307200
