index,depth_file,rgb_file,depth_ts,rgb_ts,rgb_out,rgb_undist_out,depth_out,nonzero_depth_pixels
1,d-1316653849.422577-273638529.pgm,r-1316653849.443982-274950987.ppm,1316653849.422576904,1316653849.443981886,images\1.png,RGB_undistorted\1.png,Depth\1_depth.png,307200
2,d-1316653850.494483-337707489.pgm,r-1316653850.480993-336959900.ppm,1316653850.494482994,1316653850.480993032,images\2.png,RGB_undistorted\2.png,Depth\2_depth.png,307200
3,d-1316653851.502340-397772139.pgm,r-1316653851.520890-398968812.ppm,1316653851.502340078,1316653851.520889997,images\3.png,RGB_undistorted\3.png,Depth\3_depth.png,307200
4,d-1316653852.494325-457836789.pgm,r-1316653852.480850-456977150.ppm,1316653852.494324923,1316653852.480849981,images\4.png,RGB_undistorted\4.png,Depth\4_depth.png,307200
5,d-1316653853.502215-517901439.pgm,r-1316653853.488748-516985775.ppm,1316653853.502214909,1316653853.488748074,images\5.png,RGB_undistorted\5.png,Depth\5_depth.png,307200
6,d-1316653854.508614-577966089.pgm,r-1316653854.515708-578994687.ppm,1316653854.508614063,1316653854.515707970,images\6.png,RGB_undistorted\6.png,Depth\6_depth.png,307200
7,d-1316653855.570282-642035049.pgm,r-1316653855.577563-643003887.ppm,1316653855.570281982,1316653855.577563047,images\7.png,RGB_undistorted\7.png,Depth\7_depth.png,307200
8,d-1316653856.599072-704101854.pgm,r-1316653856.611973-705012800.ppm,1316653856.599071980,1316653856.611973047,images\8.png,RGB_undistorted\8.png,Depth\8_depth.png,307200
9,d-1316653857.606944-764166504.pgm,r-1316653857.619643-765021425.ppm,1316653857.606944084,1316653857.619642973,images\9.png,RGB_undistorted\9.png,Depth\9_depth.png,307200
10,d-1316653858.776787-834241929.pgm,r-1316653858.788287-835031487.ppm,1316653858.776787043,1316653858.788286924,images\10.png,RGB_undistorted\10.png,Depth\10_depth.png,307200
11,d-1316653859.768814-894306579.pgm,r-1316653859.780335-895040112.ppm,1316653859.768814087,1316653859.780334949,images\11.png,RGB_undistorted\11.png,Depth\11_depth.png,307200
12,d-1316653860.776652-954371229.pgm,r-1316653860.788194-955048737.ppm,1316653860.776652098,1316653860.788193941,images\12.png,RGB_undistorted\12.png,Depth\12_depth.png,307200
13,d-1316653861.914173-1022444499.pgm,r-1316653861.909150-1023058512.ppm,1316653861.914172888,1316653861.909149885,images\13.png,RGB_undistorted\13.png,Depth\13_depth.png,307200
14,d-1316653862.905558-1082509149.pgm,r-1316653862.917034-1083067137.ppm,1316653862.905558109,1316653862.917033911,images\14.png,RGB_undistorted\14.png,Depth\14_depth.png,307200
