index,depth_file,rgb_file,depth_ts,rgb_ts,rgb_out,rgb_undist_out,depth_out,nonzero_depth_pixels
1,d-1315161467.633760-964660222.pgm,r-1315161467.640841-965865418.ppm,1315161467.633759975,1315161467.640841007,images\1.png,RGB_undistorted\1.png,Depth\1_depth.png,307200
2,d-1315161468.771720-1034735647.pgm,r-1315161468.778870-1035875481.ppm,1315161468.771719933,1315161468.778870106,images\2.png,RGB_undistorted\2.png,Depth\2_depth.png,307200
3,d-1315161469.764856-1094800297.pgm,r-1315161469.752144-1093883818.ppm,1315161469.764856100,1315161469.752144098,images\3.png,RGB_undistorted\3.png,Depth\3_depth.png,307200
4,d-1315161471.004490-1168880032.pgm,r-1315161471.020076-1169894743.ppm,1315161471.004489899,1315161471.020076036,images\4.png,RGB_undistorted\4.png,Depth\4_depth.png,307200
5,d-1315161472.181940-1238955457.pgm,r-1315161472.176019-1239904806.ppm,1315161472.181940079,1315161472.176018953,images\5.png,RGB_undistorted\5.png,Depth\5_depth.png,307200
6,d-1315161473.367007-1311033037.pgm,r-1315161473.381177-1311915156.ppm,1315161473.367007017,1315161473.381176949,images\6.png,RGB_undistorted\6.png,Depth\6_depth.png,307200
7,d-1315161474.374323-1371097687.pgm,r-1315161474.387981-1371923781.ppm,1315161474.374322891,1315161474.387980938,images\7.png,RGB_undistorted\7.png,Depth\7_depth.png,307200
8,d-1315161475.366733-1431162337.pgm,r-1315161475.381372-1431932406.ppm,1315161475.366733074,1315161475.381371975,images\8.png,RGB_undistorted\8.png,Depth\8_depth.png,307200
9,d-1315161476.374567-1491226987.pgm,r-1315161476.388247-1491941031.ppm,1315161476.374567032,1315161476.388247013,images\9.png,RGB_undistorted\9.png,Depth\9_depth.png,307200
10,d-1315161477.388161-1551291637.pgm,r-1315161477.381668-1551949656.ppm,1315161477.388160944,1315161477.381668091,images\10.png,RGB_undistorted\10.png,Depth\10_depth.png,307200
11,d-1315161478.512110-1619364907.pgm,r-1315161478.519247-1619959431.ppm,1315161478.512109995,1315161478.519247055,images\11.png,RGB_undistorted\11.png,Depth\11_depth.png,307200
12,d-1315161479.504097-1679429557.pgm,r-1315161479.523792-1679968056.ppm,1315161479.504096985,1315161479.523792028,images\12.png,RGB_undistorted\12.png,Depth\12_depth.png,307200
13,d-1315161480.511982-1739494207.pgm,r-1315161480.519200-1739976681.ppm,1315161480.511981964,1315161480.519200087,images\13.png,RGB_undistorted\13.png,Depth\13_depth.png,307200
14,d-1315161481.520427-1799558857.pgm,r-1315161481.529876-1799985306.ppm,1315161481.520426989,1315161481.529875994,images\14.png,RGB_undistorted\14.png,Depth\14_depth.png,307200
15,d-1315161482.512282-1859623507.pgm,r-1315161482.521392-1859993931.ppm,1315161482.512281895,1315161482.521392107,images\15.png,RGB_undistorted\15.png,Depth\15_depth.png,307200
16,d-1315161483.520150-1919688157.pgm,r-1315161483.529004-1920002556.ppm,1315161483.520149946,1315161483.529004097,images\16.png,RGB_undistorted\16.png,Depth\16_depth.png,307200
17,d-1315161484.718761-1991765737.pgm,r-1315161484.725734-1992012906.ppm,1315161484.718760967,1315161484.725733995,images\17.png,RGB_undistorted\17.png,Depth\17_depth.png,307200
18,d-1315161485.711335-2051830387.pgm,r-1315161485.721232-2052021531.ppm,1315161485.711334944,1315161485.721231937,images\18.png,RGB_undistorted\18.png,Depth\18_depth.png,307200
19,d-1315161486.719228-2111895037.pgm,r-1315161486.728650-2112030156.ppm,1315161486.719228029,1315161486.728650093,images\19.png,RGB_undistorted\19.png,Depth\19_depth.png,307200
20,d-1315161487.793352-2175963997.pgm,r-1315161487.776537-2176039356.ppm,1315161487.793351889,1315161487.776536942,images\20.png,RGB_undistorted\20.png,Depth\20_depth.png,307200
21,d-1315161488.788762-2236028647.pgm,r-1315161488.783960-2236047981.ppm,1315161488.788762093,1315161488.783960104,images\21.png,RGB_undistorted\21.png,Depth\21_depth.png,307200
22,d-1315161489.796614-2296093297.pgm,r-1315161489.791828-2296056606.ppm,1315161489.796613932,1315161489.791827917,images\22.png,RGB_undistorted\22.png,Depth\22_depth.png,307200
23,d-1315161490.788570-2356157947.pgm,r-1315161490.783817-2356065231.ppm,1315161490.788569927,1315161490.783817053,images\23.png,RGB_undistorted\23.png,Depth\23_depth.png,307200
24,d-1315161491.796479-2416222597.pgm,r-1315161491.791637-2416073856.ppm,1315161491.796478987,1315161491.791636944,images\24.png,RGB_undistorted\24.png,Depth\24_depth.png,307200
25,d-1315161492.788508-2476287247.pgm,r-1315161492.783717-2476082481.ppm,1315161492.788507938,1315161492.783716917,images\25.png,RGB_undistorted\25.png,Depth\25_depth.png,307200
