index,depth_file,rgb_file,depth_ts,rgb_ts,rgb_out,rgb_undist_out,depth_out,nonzero_depth_pixels
1,d-1315236817.706354-2689410145.pgm,r-1315236817.720915-2690401674.ppm,1315236817.706353903,1315236817.720915079,images\1.png,RGB_undistorted\1.png,Depth\1_depth.png,307200
2,d-1315236818.747870-2751476950.pgm,r-1315236818.742899-2752410586.ppm,1315236818.747869968,1315236818.742898941,images\2.png,RGB_undistorted\2.png,Depth\2_depth.png,307200
3,d-1315236819.759189-2811541600.pgm,r-1315236819.752836-2812419211.ppm,1315236819.759188890,1315236819.752835989,images\3.png,RGB_undistorted\3.png,Depth\3_depth.png,307200
4,d-1315236820.740785-2871606250.pgm,r-1315236820.760055-2872427836.ppm,1315236820.740784883,1315236820.760055065,images\4.png,RGB_undistorted\4.png,Depth\4_depth.png,307200
5,d-1315236821.758127-2931670900.pgm,r-1315236821.752462-2932436461.ppm,1315236821.758126974,1315236821.752461910,images\5.png,RGB_undistorted\5.png,Depth\5_depth.png,307200
6,d-1315236822.740077-2991735550.pgm,r-1315236822.758588-2992445086.ppm,1315236822.740077019,1315236822.758588076,images\6.png,RGB_undistorted\6.png,Depth\6_depth.png,307200
7,d-1315236823.758455-3051800200.pgm,r-1315236823.752556-3052453711.ppm,1315236823.758455038,1315236823.752556086,images\7.png,RGB_undistorted\7.png,Depth\7_depth.png,307200
8,d-1315236824.739983-3111864850.pgm,r-1315236824.758477-3112462336.ppm,1315236824.739983082,1315236824.758476973,images\8.png,RGB_undistorted\8.png,Depth\8_depth.png,307200
9,d-1315236825.757827-3171929500.pgm,r-1315236825.752245-3172470961.ppm,1315236825.757827044,1315236825.752244949,images\9.png,RGB_undistorted\9.png,Depth\9_depth.png,307200
10,d-1315236826.765470-3231994150.pgm,r-1315236826.759993-3232479586.ppm,1315236826.765470028,1315236826.759993076,images\10.png,RGB_undistorted\10.png,Depth\10_depth.png,307200
11,d-1315236827.758450-3292058800.pgm,r-1315236827.752320-3292488211.ppm,1315236827.758450031,1315236827.752320051,images\11.png,RGB_undistorted\11.png,Depth\11_depth.png,307200
12,d-1315236828.763231-3352123450.pgm,r-1315236828.758253-3352496836.ppm,1315236828.763231039,1315236828.758253098,images\12.png,RGB_undistorted\12.png,Depth\12_depth.png,307200
13,d-1315236830.719274-3470250595.pgm,r-1315236830.714199-3470513799.ppm,1315236830.719274044,1315236830.714199066,images\13.png,RGB_undistorted\13.png,Depth\13_depth.png,307200
14,d-1315236831.727623-3530315245.pgm,r-1315236831.722188-3530522424.ppm,1315236831.727622986,1315236831.722187996,images\14.png,RGB_undistorted\14.png,Depth\14_depth.png,307200
15,d-1315236832.816600-3596386360.pgm,r-1315236832.823933-3596531911.ppm,1315236832.816600084,1315236832.823932886,images\15.png,RGB_undistorted\15.png,Depth\15_depth.png,307200
16,d-1315236833.825258-3656451010.pgm,r-1315236833.812323-3656540536.ppm,1315236833.825258017,1315236833.812323093,images\16.png,RGB_undistorted\16.png,Depth\16_depth.png,307200
17,d-1315236834.816874-3716515660.pgm,r-1315236834.825731-3716549161.ppm,1315236834.816874027,1315236834.825731039,images\17.png,RGB_undistorted\17.png,Depth\17_depth.png,307200
18,d-1315236835.825167-3776580310.pgm,r-1315236835.812289-3776557786.ppm,1315236835.825166941,1315236835.812289000,images\18.png,RGB_undistorted\18.png,Depth\18_depth.png,307200
19,d-1315236836.959728-3844653580.pgm,r-1315236836.954751-3844567561.ppm,1315236836.959728003,1315236836.954751015,images\19.png,RGB_undistorted\19.png,Depth\19_depth.png,307200
20,d-1315236837.964148-3904718230.pgm,r-1315236837.946810-3904576186.ppm,1315236837.964148045,1315236837.946810007,images\20.png,RGB_undistorted\20.png,Depth\20_depth.png,307200
21,d-1315236839.054804-3970789345.pgm,r-1315236839.064367-3970585674.ppm,1315236839.054804087,1315236839.064367056,images\21.png,RGB_undistorted\21.png,Depth\21_depth.png,307200
22,d-1315236840.063408-4030853995.pgm,r-1315236840.050536-4030594299.ppm,1315236840.063407898,1315236840.050535917,images\22.png,RGB_undistorted\22.png,Depth\22_depth.png,307200
23,d-1315236841.070184-4090918645.pgm,r-1315236841.060425-4090602924.ppm,1315236841.070183992,1315236841.060425043,images\23.png,RGB_undistorted\23.png,Depth\23_depth.png,307200
24,d-1315236842.062485-4150983295.pgm,r-1315236842.050428-4150611549.ppm,1315236842.062484980,1315236842.050427914,images\24.png,RGB_undistorted\24.png,Depth\24_depth.png,307200
25,d-1315236843.303843-4225063030.pgm,r-1315236843.318541-4226622474.ppm,1315236843.303843021,1315236843.318541050,images\25.png,RGB_undistorted\25.png,Depth\25_depth.png,307200
26,d-1315236844.299415-4285127680.pgm,r-1315236844.294344-4284630811.ppm,1315236844.299415112,1315236844.294343948,images\26.png,RGB_undistorted\26.png,Depth\26_depth.png,307200
27,d-1315236845.404768-56231499.pgm,r-1315236845.418484-57673290.ppm,1315236845.404767990,1315236845.418483973,images\27.png,RGB_undistorted\27.png,Depth\27_depth.png,307200
28,d-1315236846.836692-142324164.pgm,r-1315236846.851247-143685653.ppm,1315236846.836692095,1315236846.851247072,images\28.png,RGB_undistorted\28.png,Depth\28_depth.png,307200
29,d-1315236847.873956-204390969.pgm,r-1315236847.863636-203694278.ppm,1315236847.873955965,1315236847.863636017,images\29.png,RGB_undistorted\29.png,Depth\29_depth.png,307200
