index,depth_file,rgb_file,depth_ts,rgb_ts,rgb_out,rgb_undist_out,depth_out,nonzero_depth_pixels
1,d-1316653580.471513-1316138413.pgm,r-1316653580.484909-1316500621.ppm,1316653580.471513033,1316653580.484909058,RGB\1.png,RGB_undistorted\1.png,Depth\1_depth.png,307200
2,d-1316653581.515033-1378205218.pgm,r-1316653581.510322-1378509534.ppm,1316653581.515033007,1316653581.510322094,RGB\2.png,RGB_undistorted\2.png,Depth\2_depth.png,307200
3,d-1316653582.547529-1440272023.pgm,r-1316653582.541294-1440518446.ppm,1316653582.547528982,1316653582.541294098,RGB\3.png,RGB_undistorted\3.png,Depth\3_depth.png,307200
4,d-1316653583.718645-1510347448.pgm,r-1316653583.707123-1510528509.ppm,1316653583.718645096,1316653583.707123041,RGB\4.png,RGB_undistorted\4.png,Depth\4_depth.png,307200
5,d-1316653584.717957-1570412098.pgm,r-1316653584.713068-1570537134.ppm,1316653584.717957020,1316653584.713068008,RGB\5.png,RGB_undistorted\5.png,Depth\5_depth.png,307200
6,d-1316653585.718867-1630476748.pgm,r-1316653585.707041-1630545759.ppm,1316653585.718867064,1316653585.707041025,RGB\6.png,RGB_undistorted\6.png,Depth\6_depth.png,307200
7,d-1316653586.721205-1690541398.pgm,r-1316653586.715047-1690554384.ppm,1316653586.721204996,1316653586.715046883,RGB\7.png,RGB_undistorted\7.png,Depth\7_depth.png,307200
8,d-1316653587.718904-1750606048.pgm,r-1316653587.704900-1750563009.ppm,1316653587.718904018,1316653587.704900026,RGB\8.png,RGB_undistorted\8.png,Depth\8_depth.png,307200
9,d-1316653588.720774-1810670698.pgm,r-1316653588.714817-1810571634.ppm,1316653588.720773935,1316653588.714817047,RGB\9.png,RGB_undistorted\9.png,Depth\9_depth.png,307200
10,d-1316653589.785359-1874739658.pgm,r-1316653589.775319-1874580834.ppm,1316653589.785358906,1316653589.775319099,RGB\10.png,RGB_undistorted\10.png,Depth\10_depth.png,307200
11,d-1316653590.989052-1946817238.pgm,r-1316653590.971145-1946591184.ppm,1316653590.989052057,1316653590.971144915,RGB\11.png,RGB_undistorted\11.png,Depth\11_depth.png,307200
12,d-1316653591.982337-2006881888.pgm,r-1316653591.977510-2006599809.ppm,1316653591.982336998,1316653591.977509975,RGB\12.png,RGB_undistorted\12.png,Depth\12_depth.png,307200
13,d-1316653593.152399-2076957313.pgm,r-1316653593.147405-2076609871.ppm,1316653593.152399063,1316653593.147404909,RGB\13.png,RGB_undistorted\13.png,Depth\13_depth.png,307200
14,d-1316653594.157825-2137021963.pgm,r-1316653594.171401-2138618784.ppm,1316653594.157824993,1316653594.171401024,RGB\14.png,RGB_undistorted\14.png,Depth\14_depth.png,307200
15,d-1316653595.152160-2197086613.pgm,r-1316653595.147296-2196627121.ppm,1316653595.152159929,1316653595.147295952,RGB\15.png,RGB_undistorted\15.png,Depth\15_depth.png,307200
16,d-1316653596.428036-2273168503.pgm,r-1316653596.413542-2272638046.ppm,1316653596.428035975,1316653596.413542032,RGB\16.png,RGB_undistorted\16.png,Depth\16_depth.png,307200
17,d-1316653597.503789-2337237463.pgm,r-1316653597.512213-2338647534.ppm,1316653597.503788948,1316653597.512212992,RGB\17.png,RGB_undistorted\17.png,Depth\17_depth.png,307200
